"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2004年5月11日","1,421.9","1,406.4","1,422.5","1,406.4","-","1.77%"
"2004年5月10日","1,397.1","1,395.2","1,403.6","1,384.9","-","-0.65%"
"2004年5月7日","1,406.2","1,411.1","1,432.7","1,406.2","-","-0.66%"
"2004年5月6日","1,415.6","1,416.6","1,425.5","1,403.4","-","-0.90%"
"2004年5月5日","1,428.4","1,424.7","1,435.5","1,416.7","-","0.44%"
"2004年5月4日","1,422.1","1,417.1","1,438.5","1,409.4","-","0.48%"
"2004年5月3日","1,415.3","1,409.1","1,428.5","1,404.1","-","0.99%"
"2004年4月30日","1,401.4","1,435.2","1,439.7","1,401.4","-","-2.10%"
"2004年4月29日","1,431.4","1,451.4","1,461.1","1,420.7","-","-1.49%"
"2004年4月28日","1,453.0","1,475.9","1,476.0","1,449.2","-","-1.79%"
"2004年4月27日","1,479.5","1,485.7","1,495.6","1,476.4","-","-0.07%"
"2004年4月26日","1,480.5","1,496.7","1,499.4","1,474.8","-","-1.10%"
"2004年4月23日","1,497.0","1,492.2","1,497.2","1,484.4","-","0.77%"
"2004年4月22日","1,485.5","1,450.4","1,488.7","1,449.1","-","2.38%"
"2004年4月21日","1,451.0","1,446.0","1,452.9","1,434.2","-","0.98%"
"2004年4月20日","1,436.9","1,474.0","1,479.7","1,436.9","-","-2.48%"
"2004年4月19日","1,473.5","1,448.9","1,473.5","1,448.0","-","1.69%"
"2004年4月16日","1,449.1","1,458.5","1,460.4","1,440.6","-","-0.71%"
"2004年4月15日","1,459.4","1,479.6","1,481.8","1,449.4","-","-1.10%"
"2004年4月14日","1,475.7","1,464.3","1,485.3","1,463.6","-","0.19%"
"2004年4月13日","1,472.9","1,502.0","1,502.5","1,469.9","-","-1.54%"
"2004年4月12日","1,495.9","1,489.6","1,497.5","1,488.3","-","0.70%"
"2004年4月8日","1,485.5","1,502.8","1,503.4","1,478.4","-","0.24%"
"2004年4月7日","1,482.0","1,489.1","1,492.2","1,475.6","-","-0.78%"
"2004年4月6日","1,493.6","1,492.9","1,498.3","1,485.7","-","-0.98%"
"2004年4月5日","1,508.4","1,488.4","1,508.4","1,487.2","-","1.21%"
"2004年4月2日","1,490.3","1,482.3","1,490.3","1,469.6","-","2.55%"
"2004年4月1日","1,453.2","1,438.9","1,457.6","1,438.9","-","1.03%"
"2004年3月31日","1,438.4","1,445.2","1,447.9","1,432.9","-","-0.47%"
"2004年3月30日","1,445.3","1,435.6","1,445.3","1,429.1","-","0.20%"
"2004年3月29日","1,442.3","1,429.5","1,445.8","1,429.5","-","1.90%"
"2004年3月26日","1,415.4","1,420.4","1,431.2","1,415.4","-","-0.73%"
"2004年3月25日","1,425.9","1,394.2","1,425.9","1,394.0","-","3.18%"
"2004年3月24日","1,381.9","1,374.7","1,391.9","1,368.1","-","0.86%"
"2004年3月23日","1,370.0","1,391.6","1,393.8","1,368.7","-","-0.82%"
"2004年3月22日","1,381.4","1,386.8","1,388.7","1,369.4","-","-1.23%"
"2004年3月19日","1,398.6","1,416.2","1,425.9","1,398.6","-","-1.35%"
"2004年3月18日","1,417.8","1,423.9","1,425.8","1,407.1","-","-0.78%"
"2004年3月17日","1,428.9","1,418.6","1,432.2","1,418.3","-","1.55%"
"2004年3月16日","1,407.1","1,412.1","1,417.6","1,394.1","-","0.51%"
"2004年3月15日","1,399.9","1,423.2","1,424.7","1,399.9","-","-2.20%"
"2004年3月12日","1,431.4","1,415.9","1,431.4","1,414.4","-","2.08%"
"2004年3月11日","1,402.2","1,409.1","1,429.1","1,402.2","-","-1.08%"
"2004年3月10日","1,417.5","1,438.5","1,447.7","1,417.2","-","-1.39%"
"2004年3月9日","1,437.5","1,441.3","1,446.5","1,429.4","-","-0.25%"
"2004年3月8日","1,441.1","1,476.8","1,481.2","1,441.0","-","-2.16%"
"2004年3月5日","1,473.0","1,464.9","1,494.3","1,463.3","-","-0.57%"
"2004年3月4日","1,481.4","1,466.7","1,481.4","1,464.6","-","1.04%"
"2004年3月3日","1,466.1","1,469.8","1,473.3","1,456.9","-","-0.48%"
"2004年3月2日","1,473.2","1,487.7","1,494.7","1,473.2","-","-1.09%"
