"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年9月10日","15,602.0","15,588.0","15,702.0","15,546.0","67.39K","-0.15%"
"2021年9月9日","15,626.0","15,604.0","15,693.0","15,448.0","84.77K","0.03%"
"2021年9月8日","15,622.0","15,815.0","15,847.0","15,586.0","121.04K","-1.39%"
"2021年9月7日","15,842.0","15,910.0","15,927.0","15,814.0","69.06K","-0.53%"
"2021年9月6日","15,926.0","15,742.0","15,958.0","15,724.0","56.30K","0.94%"
"2021年9月3日","15,778.0","15,819.0","15,868.0","15,682.0","72.12K","-0.35%"
"2021年9月2日","15,833.0","15,814.0","15,873.0","15,762.0","53.68K","0.12%"
"2021年9月1日","15,814.0","15,839.0","15,977.0","15,767.0","85.07K","0.09%"
"2021年8月31日","15,800.0","15,868.0","16,005.0","15,755.0","89.97K","-0.54%"
"2021年8月30日","15,886.0","15,855.0","15,894.0","15,812.0","36.81K","0.32%"
"2021年8月27日","15,835.0","15,739.0","15,870.0","15,722.0","47.63K","0.24%"
"2021年8月26日","15,797.0","15,837.0","15,837.0","15,690.0","63.49K","-0.35%"
"2021年8月25日","15,852.0","15,903.0","15,929.0","15,833.0","43.59K","-0.30%"
"2021年8月24日","15,900.0","15,863.0","15,922.0","15,847.0","47.12K","0.25%"
"2021年8月23日","15,861.0","15,830.0","15,935.0","15,790.0","60.32K","0.48%"
"2021年8月20日","15,786.0","15,788.0","15,824.0","15,646.0","67.78K","0.26%"
"2021年8月19日","15,745.0","15,880.0","15,893.0","15,615.0","105.89K","-1.32%"
"2021年8月18日","15,956.0","15,881.0","15,970.0","15,863.0","55.51K","0.31%"
"2021年8月17日","15,907.0","15,936.0","15,936.0","15,800.0","63.71K","0.11%"
"2021年8月16日","15,890.0","15,928.0","15,957.0","15,841.0","59.90K","-0.49%"
"2021年8月13日","15,969.0","15,942.0","16,024.0","15,920.0","50.41K","0.20%"
"2021年8月12日","15,937.0","15,850.0","15,967.0","15,804.0","59.61K","0.79%"
"2021年8月11日","15,812.0","15,775.0","15,880.0","15,713.0","61.54K","0.29%"
"2021年8月10日","15,767.0","15,744.0","15,791.0","15,709.0","43.50K","0.11%"
"2021年8月9日","15,750.0","15,718.0","15,788.0","15,685.0","47.07K","-0.02%"
"2021年8月6日","15,753.0","15,740.0","15,795.0","15,712.0","50.83K","0.10%"
"2021年8月5日","15,737.0","15,683.0","15,746.0","15,648.0","54.18K","0.41%"
"2021年8月4日","15,673.0","15,546.0","15,702.0","15,542.0","72.87K","0.83%"
"2021年8月3日","15,544.0","15,537.0","15,596.0","15,481.0","61.39K","-0.22%"
"2021年8月2日","15,578.0","15,592.0","15,695.0","15,499.0","73.59K","0.19%"
"2021年7月30日","15,549.0","15,562.0","15,601.0","15,426.0","69.68K","-0.48%"
"2021年7月29日","15,624.0","15,534.0","15,650.0","15,496.0","53.25K","0.40%"
"2021年7月28日","15,561.0","15,541.0","15,577.0","15,474.0","57.30K","0.29%"
"2021年7月27日","15,516.0","15,614.0","15,624.0","15,407.0","73.74K","-0.53%"
"2021年7月26日","15,599.0","15,651.0","15,651.0","15,531.0","55.71K","-0.34%"
"2021年7月23日","15,653.0","15,542.0","15,679.0","15,529.0","54.15K","0.99%"
"2021年7月22日","15,499.0","15,449.0","15,566.0","15,425.0","61.97K","0.58%"
"2021年7月21日","15,410.0","15,273.0","15,451.0","15,182.0","83.58K","1.31%"
"2021年7月20日","15,210.0","15,137.0","15,287.0","15,077.0","95.95K","0.77%"
"2021年7月19日","15,094.0","15,472.0","15,477.0","15,032.0","132.42K","-2.71%"
"2021年7月16日","15,514.0","15,605.0","15,687.0","15,461.0","83.63K","-0.62%"
"2021年7月15日","15,611.0","15,748.0","15,767.0","15,574.0","86.86K","-1.05%"
"2021年7月14日","15,777.0","15,763.0","15,797.0","15,698.0","58.22K","0.04%"
"2021年7月13日","15,771.0","15,787.0","15,802.0","15,732.0","53.36K","-0.11%"
"2021年7月12日","15,789.0","15,665.0","15,792.0","15,616.0","72.82K","0.84%"
"2021年7月9日","15,658.0","15,413.0","15,683.0","15,343.0","80.75K","1.71%"
"2021年7月8日","15,394.0","15,695.0","15,695.0","15,287.0","117.71K","-1.75%"
"2021年7月7日","15,668.0","15,486.0","15,700.0","15,462.0","71.77K","1.23%"
"2021年7月6日","15,478.0","15,644.0","15,678.0","15,447.0","73.20K","-1.08%"
"2021年7月5日","15,647.0","15,625.0","15,657.0","15,515.0","43.80K","0.20%"
"2021年7月2日","15,616.0","15,615.0","15,694.0","15,583.0","54.51K","0.24%"
"2021年7月1日","15,578.0","15,560.0","15,693.0","15,473.0","80.83K","0.32%"
"2021年6月30日","15,528.0","15,700.0","15,706.0","15,440.0","80.80K","-0.99%"
"2021年6月29日","15,683.0","15,537.0","15,738.0","15,515.0","60.58K","0.97%"
"2021年6月28日","15,533.0","15,599.0","15,652.0","15,522.0","52.06K","-0.37%"
"2021年6月25日","15,591.0","15,594.0","15,620.0","15,514.0","39.57K","0.14%"
"2021年6月24日","15,569.0","15,479.0","15,589.0","15,456.0","48.07K","0.62%"
"2021年6月23日","15,473.0","15,632.0","15,656.0","15,433.0","57.42K","-0.99%"
"2021年6月22日","15,628.0","15,618.0","15,640.0","15,493.0","49.02K","0.34%"
"2021年6月21日","15,575.0","15,410.0","15,626.0","15,257.0","63.70K","-0.25%"
"2021年6月18日","15,613.5","15,742.0","15,742.0","15,603.0","6.17K","-0.70%"
"2021年6月17日","15,724.0","15,665.0","15,763.0","15,619.0","52.12K","0.05%"
"2021年6月16日","15,716.0","15,742.0","15,761.0","15,670.0","75.76K","-0.10%"
"2021年6月15日","15,731.0","15,728.0","15,793.0","15,713.0","80.66K","0.24%"
"2021年6月14日","15,693.0","15,719.0","15,806.0","15,670.0","69.24K","0.00%"
"2021年6月11日","15,693.0","15,596.0","15,725.0","15,546.0","53.31K","0.72%"
"2021年6月10日","15,581.0","15,572.0","15,639.0","15,513.0","59.85K","-0.06%"
"2021年6月9日","15,591.0","15,660.0","15,678.0","15,500.0","54.26K","-0.40%"
"2021年6月8日","15,653.0","15,711.0","15,727.0","15,633.0","48.61K","-0.23%"
"2021年6月7日","15,689.0","15,690.0","15,730.0","15,608.0","45.60K","-0.01%"
"2021年6月4日","15,691.0","15,607.0","15,704.0","15,580.0","41.70K","0.26%"
"2021年6月3日","15,651.0","15,605.0","15,656.0","15,469.0","50.15K","0.44%"
"2021年6月2日","15,583.0","15,562.0","15,628.0","15,546.0","38.96K","0.10%"
"2021年6月1日","15,567.0","15,455.0","15,683.0","15,432.0","69.12K","0.99%"
"2021年5月31日","15,414.0","15,521.0","15,524.0","15,408.0","25.05K","-0.63%"
"2021年5月28日","15,512.0","15,482.0","15,545.0","15,427.0","42.15K","0.60%"
"2021年5月27日","15,420.0","15,449.0","15,487.0","15,345.0","47.73K","-0.17%"
