"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年10月9日","13,023.0","13,087.5","13,094.0","12,993.0","56.82K","-0.14%"
"2020年10月8日","13,041.0","12,933.0","13,087.5","12,921.0","65.97K","1.10%"
"2020年10月7日","12,899.5","12,799.0","12,947.0","12,782.0","62.33K","0.00%"
"2020年10月6日","12,899.5","12,852.5","12,950.0","12,758.5","77.48K","0.62%"
"2020年10月5日","12,820.0","12,756.0","12,873.0","12,709.5","50.85K","1.25%"
"2020年10月2日","12,662.0","12,676.5","12,724.5","12,521.0","74.32K","-0.24%"
"2020年10月1日","12,692.5","12,777.0","12,842.5","12,650.0","70.17K","-0.68%"
"2020年9月30日","12,779.0","12,835.0","12,883.0","12,667.0","74.76K","-0.14%"
"2020年9月29日","12,797.0","12,883.0","12,930.5","12,716.0","63.87K","-0.40%"
"2020年9月28日","12,849.0","12,549.5","12,866.5","12,543.0","74.38K","3.44%"
"2020年9月25日","12,421.5","12,641.0","12,692.5","12,316.0","98.78K","-1.28%"
"2020年9月24日","12,583.0","12,497.0","12,675.0","12,435.5","93.95K","-0.38%"
"2020年9月23日","12,631.0","12,659.5","12,809.5","12,506.5","81.89K","0.12%"
"2020年9月22日","12,616.0","12,642.0","12,679.5","12,537.0","82.09K","1.00%"
"2020年9月21日","12,490.5","13,134.5","13,136.5","12,478.5","127.77K","-5.75%"
"2020年9月18日","13,252.6","13,247.5","13,260.0","13,180.0","4.64K","0.20%"
"2020年9月17日","13,225.5","13,204.0","13,249.5","13,032.0","68.12K","-0.07%"
"2020年9月16日","13,235.0","13,192.0","13,279.0","13,171.0","80.91K","0.08%"
"2020年9月15日","13,224.0","13,164.0","13,262.5","13,133.5","97.94K","0.19%"
"2020年9月14日","13,199.0","13,244.0","13,339.0","13,143.0","82.52K","-0.12%"
"2020年9月11日","13,214.5","13,142.5","13,257.0","13,110.5","73.78K","-0.02%"
"2020年9月10日","13,216.5","13,271.0","13,308.0","13,092.5","86.90K","-0.25%"
"2020年9月9日","13,250.0","12,907.0","13,315.5","12,872.0","86.88K","2.08%"
"2020年9月8日","12,980.5","13,123.5","13,159.5","12,852.0","104.05K","-0.80%"
"2020年9月7日","13,085.0","12,875.0","13,136.5","12,864.0","59.55K","2.25%"
"2020年9月4日","12,797.5","12,943.5","13,127.0","12,744.0","104.51K","-1.83%"
"2020年9月3日","13,035.5","13,370.0","13,461.0","12,930.5","118.57K","-1.40%"
"2020年9月2日","13,220.5","13,023.5","13,352.5","13,005.5","106.34K","2.02%"
"2020年9月1日","12,958.5","12,942.5","13,126.0","12,844.5","85.81K","0.25%"
